scenario_id,scenario_code,scenario_label,ambition,scenario_kind,k_t,k_p,k_a,edited_objects,rebound,unbalanced_pct_of_output,ambition_basis,source,note,in_combined
1,B1,"B1 grid and district heat, Danish, 2030",KF22 to 2030,background pathway,0.862266,1,0.862266,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",False
2,B1,"B1 grid and district heat, Danish, 2030",KF25 to 2030,background pathway,0.735941,1,0.735941,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",False
3,B1,"B1 grid and district heat, Danish, 2035",KF22 to 2035,background pathway,0.872861,1,0.872861,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",False
4,B1,"B1 grid and district heat, Danish, 2035",KF25 to 2035,background pathway,0.768541,1,0.768541,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",False
5,B1G,"B1G grid and district heat, every region, 2030",KF22 to 2030,background pathway,0.862266,1,0.862266,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",False
6,B1G,"B1G grid and district heat, every region, 2030",KF25 to 2030,background pathway,0.735941,1,0.735941,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 32.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",False
7,B1G,"B1G grid and district heat, every region, 2035",KF22 to 2035,background pathway,0.872861,1,0.872861,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 15.6 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",False
8,B1G,"B1G grid and district heat, every region, 2035",KF25 to 2035,background pathway,0.768541,1,0.768541,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF25: 122.7 -> 28.4 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",False
9,C1,C1 all interventions combined,maximum modelled,combined,0.75;0.15;0.235;0.2;0.3;0.3;0.93;0.75;0.4,1;1;1;1;1;1;1;0.6;1,0.75;0.15;0.235;0.2;0.3;0.3;0.93;0.45;0.4,A;bottom_up;y,False,0.7248722566247202,"share of the stated target actually met; both half and full delivery are reported | share of Danish pharmaceutical output achieving what one firm achieved; reported as a range because that share is unknown | applied to the paper and plastics inputs of medical-instrument manufacturing in every region | illustrative ambition | full substitution of the Danish pMDI stock; a device change, not a change of therapy | N2O is 60 % of the Danish anaesthetic-gas term; the volatile agents are a separate item that capture does not touch","Danske Regioner (2020): all public hospitals to cut CO2 from energy and transport by 75 % by 2030 against 2018 | Lundbeck, reported in Healthcare Denmark (2024): raw-material use down 15 % from 2020 to 2022 while chemical production rose 18 % | Demant, reported in Healthcare Denmark (2024): 12 % to 23.5 % lower cradle-to-gate packaging carbon across the hearing-aid portfolio, using recycled PET | Danske Regioner procurement focus on reuse of medical equipment, reported in Healthcare Denmark (2024). The reduction level is ILLUSTRATIVE - no Danish reuse rate is published | Danish national travel survey (TU) purpose 33 | Jeswani & Azapagic (2019): reducing propellant by 67 % cuts the carbon footprint of use and end-of-life by 67 %; replacing HFA-134a with HFA-152a cuts it by 93 % | Denmark National Inventory Document category 2.G.3.a: 38 t N2O per year | Circular Industrial Plastic partnership and the regions' stated focus on avoiding waste, Healthcare Denmark (2024). The diverted share is ILLUSTRATIVE","every intervention at its most ambitious modelled level, applied simultaneously and re-solved. P7 is excluded as an alternative to P6 on the same devices. This is NOT the sum of the individual rows: overlapping levers are netted by the solution",False
10,C2,"C2 all interventions, expenditure held constant","maximum modelled, with rebound",combined,0.75;0.15;0.235;0.2;0.3;0.3;0.93;0.75;0.4,1;1;1;1;1;1;1;0.6;1,0.75;0.15;0.235;0.2;0.3;0.3;0.93;0.45;0.4,A;bottom_up;y,True,0.7260253567199647,"share of the stated target actually met; both half and full delivery are reported | share of Danish pharmaceutical output achieving what one firm achieved; reported as a range because that share is unknown | applied to the paper and plastics inputs of medical-instrument manufacturing in every region | illustrative ambition | full substitution of the Danish pMDI stock; a device change, not a change of therapy | N2O is 60 % of the Danish anaesthetic-gas term; the volatile agents are a separate item that capture does not touch","Danske Regioner (2020): all public hospitals to cut CO2 from energy and transport by 75 % by 2030 against 2018 | Lundbeck, reported in Healthcare Denmark (2024): raw-material use down 15 % from 2020 to 2022 while chemical production rose 18 % | Demant, reported in Healthcare Denmark (2024): 12 % to 23.5 % lower cradle-to-gate packaging carbon across the hearing-aid portfolio, using recycled PET | Danske Regioner procurement focus on reuse of medical equipment, reported in Healthcare Denmark (2024). The reduction level is ILLUSTRATIVE - no Danish reuse rate is published | Danish national travel survey (TU) purpose 33 | Jeswani & Azapagic (2019): reducing propellant by 67 % cuts the carbon footprint of use and end-of-life by 67 %; replacing HFA-134a with HFA-152a cuts it by 93 % | Denmark National Inventory Document category 2.G.3.a: 38 t N2O per year | Circular Industrial Plastic partnership and the regions' stated focus on avoiding waste, Healthcare Denmark (2024). The diverted share is ILLUSTRATIVE","every intervention at its most ambitious modelled level, applied simultaneously and re-solved. P7 is excluded as an alternative to P6 on the same devices. This is NOT the sum of the individual rows: overlapping levers are netted by the solution. Total final expenditure is held at the baseline, so money not spent on one product is spent on the rest of the basket",False
