analysis_year,item,risk,test,value,unit,verdict
2019,MRIO footprint decomposition by producing/purchased node,none,partition of one scalar (sum of cells == total),5180.165978452658,kt CO2eq,OK - additive by construction (Wood & Hertwich 2018 p.5)
2019,Health sector self-supply loop a_hh,"MRIO footprint contains the sector's OWN direct emissions, which the national-accounts Scope 1 also reports",s_h * (L y_H)_h,2.3978207785546894,kt CO2eq,REAL overlap - removed from the MRIO part before adding Scope 1
2019,Z-column construction vs national-accounts Scope 1,boundary gap or overlap,identity F_services == (m_h - s_h) * E_H,5.093170329928398e-11,kt CO2eq (deviation),"OK - the Z-column footprint is exactly the cradle-to-gate multiplier net of the sector's own intensity, i.e. a pure upstream quantity"
2019,Pharmaceuticals component vs chemicals bought by providers,the same euros counted in both the services recipe and the separate HC.5.1 component,services-column purchases of Chemicals nec vs the HC.5.1 component,123.67997928851759,M.EUR (in services column),"OK - different channels: HC.5.1 is the retail/pharmacy and marketed-government channel (SHA), the services column is provider procurement"
2019,Medical appliances component vs instruments bought by providers,as above,services-column purchases of Medical precision instruments,266.43423839488213,M.EUR (in services column),"OK (zero) - but the zero is a DATA DEFECT, not a boundary gap: EXIOBASE v3.10.2 carries ~zero output for industry 33 in EVERY European region and in both 2016 and 2022 (v3.8.2 2016: DK 4,919, DE 68,118, US 239,045 M.EUR). See docs/methods/exiobase_release_and_classification.md"
2019,Anaesthetic gases (bottom-up),already in the MRIO extensions,medical N2O netted out of the DRIVHUS Scope 1 figure,,-,OK - netted; see docs/revision/defects_and_fixes.md
2019,pMDI propellants (bottom-up),already in the MRIO,"released at patients' homes, booked to household direct emissions",,-,OK - outside the sector's footprint
2019,Commuting and patient/visitor travel (bottom-up),already in the MRIO,"household consumption, outside the providers' purchase column",,-,"OK - complementary, not overlapping"
2019,Scope 1 + 2 + 3 + outside protocol,scopes computed independently would not partition the footprint,asserted equality with the reported total,,-,OK - Scope 3 is defined as the residual after Scope 2 (analysis.scopes_detail)
2019,Aggregating footprints of several health sub-sectors,Cabernard et al. (2019) eq. 8 vs 9: target-to-target flows counted twice,"PERFORMED - analysis.cabernard_target_scope3 implements eq. 9 exactly, q_T = rowsum(Y_T,all + A_TO L'_OO Y_O,all); f_T is eq. 12",,"% overestimate, broadest target set (T3)","NOT TESTED for this analysis year - analysis.cabernard_target_scope3 has not been run for it, and this ledger quotes no other year's figure. The study's HEADLINE is a final-demand footprint f = s L y_H, which Wood & Hertwich (2018 p.5) show is additive; it is not exposed. Scope 2 is one energy row-slice of one purchasing column, not a sum over overlapping targets, so it is not exposed either. See 03_cabernard_target_scope3"
